"group","att_n","n_responses","acceptance_rate","sd","difficulty_category","discrimination","discrimination_category"
"125","sg",13,0.461538461538462,0.518874521662771,"Medium",0.518874521662771,"High"
"126","sg",36,0.472222222222222,0.506309397848002,"Medium",0.506309397848002,"High"
"138","pl",19,0.473684210526316,0.512989176042577,"Medium",0.512989176042577,"High"
"113","pl",23,0.478260869565217,0.510753918455249,"Medium",0.510753918455249,"High"
"115","sg",23,0.478260869565217,0.510753918455249,"Medium",0.510753918455249,"High"
"105","sg",18,0.5,0.514495755427527,"Medium",0.514495755427527,"High"
"108","pl",36,0.5,0.50709255283711,"Medium",0.50709255283711,"High"
"118","pl",16,0.5,0.516397779494322,"Medium",0.516397779494322,"High"
"123","pl",12,0.5,0.522232967867094,"Medium",0.522232967867094,"High"
"129","pl",23,0.521739130434783,0.510753918455249,"Medium",0.510753918455249,"High"
"101","pl",19,0.526315789473684,0.512989176042577,"Medium",0.512989176042577,"High"
"133","pl",19,0.526315789473684,0.512989176042577,"Medium",0.512989176042577,"High"
"135","sg",19,0.526315789473684,0.512989176042577,"Medium",0.512989176042577,"High"
"110","sg",36,0.527777777777778,0.506309397848002,"Medium",0.506309397848002,"High"
"139","pl",13,0.538461538461538,0.518874521662771,"Medium",0.518874521662771,"High"
"131","pl",11,0.545454545454545,0.522232967867094,"Medium",0.522232967867094,"High"
"103","pl",18,0.555555555555556,0.511309992564914,"Medium",0.511309992564914,"High"
"111","pl",18,0.555555555555556,0.511309992564914,"Medium",0.511309992564914,"High"
"132","pl",36,0.555555555555556,0.50395263067897,"Medium",0.50395263067897,"High"
"105","pl",23,0.565217391304348,0.506869801869702,"Medium",0.506869801869702,"High"
"121","pl",23,0.565217391304348,0.506869801869702,"Medium",0.506869801869702,"High"
"131","sg",23,0.565217391304348,0.506869801869702,"Medium",0.506869801869702,"High"
"109","pl",19,0.578947368421053,0.507257273501788,"Medium",0.507257273501788,"High"
"117","sg",12,0.583333333333333,0.514928650544437,"Medium",0.514928650544437,"High"
"117","pl",17,0.588235294117647,0.507299656195892,"Medium",0.507299656195892,"High"
"125","pl",18,0.611111111111111,0.50163132570455,"High",0.50163132570455,"High"
"115","pl",13,0.615384615384615,0.506369683541833,"High",0.506369683541833,"High"
